region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version,chalname,tgtname,notes,chalname2,tgtname2,startyear,endyear,years,dys
1,13002,130,Cordillera del Condor,2,130,135,Ecuador-Peru,194702,199810,12,1,8,3,4,4,4,4,2,2,13,5,0,1.01,Ecuador,Peru,NA,NA,NA,1947,1998,(1947-1998),Ecuador-Peru (1947-1998)
1,16601,166,Palena/Continental Glaciers,1,155,160,Chile-Argentina,190301,199812,4,0,6,2,3,3,2,4,2,2,0,0,0,1.01,Chile,Argentina,NA,NA,NA,1903,1998,(1903-1998),Chile-Argentina (1903-1998)
2,20001,200,Northern Ireland,1,205,200,Ireland-United Kingdom,192212,199805,13,0,10,3,5,5,6,4,2,2,0,0,0,1.01,Ireland,United Kingdom,NA,NA,United Kingdom,1922,1998,(1922-1998),Ireland-United Kingdom (1922-1998)
2,30803,308,Adutiskis - Druskininkai - Ignalina,3,370,368,Belarus-Lithuania,199112,199502,4,0,8,3,4,4,2,6,3,3,0,0,0,1.01,Belarus,Lithuania,NA,NA,NA,1991,1995,(1991-1995),Belarus-Lithuania (1991-1995)
2,33001,330,Sidonia & U Sabotu,1,316,317,Czech Republic-Slovakia,199401,199706,4,0,8,3,4,4,2,6,3,3,0,0,0,1.01,Czech Republic,Slovakia,NA,NA,NA,1994,1997,(1994-1997),Czech Republic-Slovakia (1994-1997)
2,34401,344,Prohor Pcinski Monastery-Sar Mountain-Kumanovo,1,345,343,Montenegro-The former Yugoslav Republic of Macedonia,199304,200102,4,0,8,3,4,4,2,6,3,3,1,0,0,1.01,Montenegro,The former Yugoslav Republic of Macedonia,NA,Montenegro,NA,1993,2001,(1993-2001),Montenegro-The former Yugoslav Republic of Macedonia (1993-2001)
2,34801,348,Bihac & Martinbrod,1,344,346,Croatia-Bosnia and Herzegovina,199610,199907,4,0,7,2,3,4,2,5,2,3,0,0,0,1.01,Croatia,Bosnia and Herzegovina,NA,NA,NA,1996,1999,(1996-1999),Croatia-Bosnia and Herzegovina (1996-1999)
2,38002,380,Dzhurdzhulest Strip & Kopanka Road,2,359,369,Republic of Moldova-Ukraine,199609,199908,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01,Republic of Moldova,Ukraine,NA,NA,NA,1996,1999,(1996-1999),Republic of Moldova-Ukraine (1996-1999)
3,53602,536,Kamwema,2,500,510,Uganda-Tanzania,200007,200010,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01,Uganda,Tanzania,NA,NA,Tanzania,2000,2000,(2000-2000),Uganda-Tanzania (2000-2000)
3,62401,624,Singabezi Island,1,552,551,Zimbabwe-Zambia,199702,199705,1,0,5,2,2,3,2,3,1,2,0,0,0,1.01,Zimbabwe,Zambia,NA,NA,NA,1997,1997,(1997-1997),Zimbabwe-Zambia (1997-1997)
3,63801,638,Conquered Territories,1,570,560,Lesotho-South Africa,196610,199507,1,0,9,3,5,4,4,5,3,2,0,0,0,1.01,Lesotho,South Africa,NA,NA,NA,1966,1995,(1966-1995),Lesotho-South Africa (1966-1995)
3,64203,642,Kasikili Island,3,565,571,Namibia-Botswana,199003,199912,12,0,3,1,1,2,0,3,1,2,1,0,0,1.01,Namibia,Botswana,NA,NA,NA,1990,1999,(1990-1999),Namibia-Botswana (1990-1999)
4,75603,756,Najran-Asir-Jizan,3,679,670,Yemen-Saudi Arabia,199005,200006,4,1,8,3,4,4,4,4,2,2,2,2,0,1.01,Yemen,Saudi Arabia,NA,NA,NA,1990,2000,(1990-2000),Yemen-Saudi Arabia (1990-2000)
4,75604,756,Duwaimah-Huraym-Ashiq Islands,4,670,679,Saudi Arabia-Yemen,199805,200006,4,1,6,2,3,3,2,4,2,2,0,0,0,1.01,Saudi Arabia,Yemen,NA,NA,NA,1998,2000,(1998-2000),Saudi Arabia-Yemen (1998-2000)
4,75803,758,Al Wadiah-Beihan,3,670,679,Saudi Arabia-Yemen,199005,200006,4,0,7,2,3,4,4,3,1,2,0,0,0,1.01,Saudi Arabia,Yemen,NA,NA,NA,1990,2000,(1990-2000),Saudi Arabia-Yemen (1990-2000)
4,76202,762,Qaruh & Umm al-Maradim Islands,2,670,690,Saudi Arabia-Kuwait,196106,200007,4,0,8,3,4,4,4,4,2,2,0,0,0,1.01,Saudi Arabia,Kuwait,NA,NA,NA,1961,2000,(1961-2000),Saudi Arabia-Kuwait (1961-2000)
4,76601,766,Al Khafous (Khafus),1,670,694,Saudi Arabia-Qatar,199209,199906,4,0,8,3,4,4,4,4,2,2,2,0,0,1.01,Saudi Arabia,Qatar,NA,NA,NA,1992,1999,(1992-1999),Saudi Arabia-Qatar (1992-1999)
4,78003,780,Hanish Islands,3,679,531,Yemen-Eritrea,199305,199810,12,0,10,3,5,5,6,4,2,2,2,1,0,1.01,Yemen,Eritrea,NA,NA,NA,1993,1998,(1993-1998),Yemen-Eritrea (1993-1998)
4,78202,782,Dhofar,2,698,679,Oman-Yemen,199005,199506,4,0,6,2,3,3,2,4,2,2,0,0,0,1.01,Oman,Yemen,NA,NA,NA,1990,1995,(1990-1995),Oman-Yemen (1990-1995)
4,79001,790,Hawar Islands & Zubarah,1,694,692,Qatar-Bahrain,197109,200103,12,0,7,2,3,4,4,3,1,2,1,0,0,1.01,Qatar,Bahrain,NA,NA,NA,1971,2001,(1971-2001),Qatar-Bahrain (1971-2001)
4,79201,792,Ras al-Khaimah,1,698,696,Oman-United Arab Emirates,197712,199905,4,0,9,3,4,5,6,3,1,2,0,0,0,1.01,Oman,United Arab Emirates,NA,NA,NA,1977,1999,(1977-1999),Oman-United Arab Emirates (1977-1999)
5,81402,814,Kowloon Peninsula,2,710,200,China-United Kingdom,192112,199707,4,0,8,3,5,3,4,4,3,1,0,0,0,1.01,China,United Kingdom,NA,NA,United Kingdom,1921,1997,(1921-1997),China-United Kingdom (1921-1997)
5,81403,814,Hong Kong,3,710,200,China-United Kingdom,197203,199707,4,0,8,3,5,3,4,4,3,1,0,0,0,1.01,China,United Kingdom,NA,NA,United Kingdom,1972,1997,(1972-1997),China-United Kingdom (1972-1997)
5,81603,816,Macao,3,710,235,China-Portugal,197203,199912,4,0,8,3,5,3,4,4,3,1,0,0,0,1.01,China,Portugal,NA,NA,NA,1972,1999,(1972-1999),China-Portugal (1972-1999)
5,87706,877,Uzengi-Kuush,6,710,703,China-Kyrgyzstan,199112,199908,4,0,10,3,5,5,4,6,3,3,0,0,0,1.01,China,Kyrgyzstan,NA,NA,NA,1991,1999,(1991-1999),China-Kyrgyzstan (1991-1999)
5,87707,877,Chogan-Obo Valley & Bay-Murza Passes,7,710,705,China-Kazakhstan,199112,199807,4,0,10,3,5,5,4,6,3,3,0,0,0,1.01,China,Kazakhstan,NA,NA,NA,1991,1998,(1991-1998),China-Kazakhstan (1991-1998)
5,94404,944,China-Vietnam Border Regions,4,710,816,China-Vietnam,195701,199912,4,0,5,2,2,3,2,3,1,2,5,5,1,1.01,China,Vietnam,NA,NA,Vietnam,1957,1999,(1957-1999),China-Vietnam (1957-1999)
5,95204,952,Mae Sot Islet,4,775,800,Myanmar-Thailand,199705,200101,4,0,3,1,1,2,0,3,1,2,0,0,0,1.01,Myanmar,Thailand,NA,NA,NA,1997,2001,(1997-2001),Myanmar-Thailand (1997-2001)
5,97405,974,East Timor,5,235,850,Portugal-Indonesia,197512,199905,13,0,7,2,3,4,4,3,1,2,0,0,0,1.01,Portugal,Indonesia,NA,NA,NA,1975,1999,(1975-1999),Portugal-Indonesia (1975-1999)
1,501,5,Machias Seal Island,1,2,20,United States-Canada,197108,201799,NA,-9,5,2,2,3,2,3,1,2,0,0,0,1.01,United States,Canada,NA,United States,NA,1971,2017,(1971-2017),United States-Canada (1971-2017)
